LocationDesc,AgeGroup,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Subjective cognitive decline or memory loss among older adults,Talked with health care professional about subjective cognitive decline or memory loss
South Carolina,2.0,43.3,36.93333333333333,11.82,44.766666666666666
South Dakota,0.0,42.57272727272727,30.61111111111111,7.392307692307692,46.03636363636363
South Dakota,1.0,38.975,25.685714285714287,9.491666666666667,35.18
South Dakota,2.0,32.30833333333333,23.383333333333336,8.323076923076924,38.19166666666667
Tennessee,0.0,57.5625,46.76875,14.710526315789474,53.6625
Tennessee,1.0,38.3,29.85,12.32,40.15
Tennessee,2.0,50.61764705882353,40.91764705882353,13.61,48.911764705882355
Texas,0.0,53.50714285714286,48.364285714285714,11.816666666666666,50.699999999999996
Texas,1.0,41.542857142857144,32.35,12.63529411764706,33.628571428571426
Texas,2.0,50.11176470588235,44.45882352941177,12.43888888888889,43.80555555555556
"United States, DC & Territories",0.0,50.144642857142856,41.75535714285714,11.0,48.57142857142857
"United States, DC & Territories",1.0,38.4,35.79285714285714,11.973214285714286,39.28928571428571
"United States, DC & Territories",2.0,44.72678571428571,39.0375,11.4125,44.458928571428565
Utah,0.0,38.11052631578948,32.32105263157895,9.254166666666666,48.95789473684211
Utah,1.0,23.45909090909091,20.475,13.933333333333332,38.56666666666667
Utah,2.0,29.620833333333334,25.179166666666664,11.316666666666668,43.15416666666667
Vermont,0.0,37.32000000000001,25.76,7.5249999999999995,49.730000000000004
Vermont,1.0,28.78,28.5,8.975,43.05833333333334
Vermont,2.0,30.75,27.169999999999998,8.241666666666667,46.63333333333333
Virginia,0.0,41.87692307692308,34.815384615384616,9.793333333333333,53.26153846153846
Virginia,1.0,23.366666666666664,20.45,10.620000000000001,45.21666666666667
Virginia,2.0,36.86,31.9,10.106666666666666,49.906666666666666
Washington,0.0,38.275,27.95,10.428571428571429,47.94166666666666
Washington,1.0,28.299999999999997,24.341666666666665,10.25,47.083333333333336
Washington,2.0,33.59166666666666,26.266666666666666,11.4,47.525
West,0.0,45.8811320754717,35.412962962962965,10.578181818181818,47.04615384615385
West,1.0,28.22909090909091,25.923636363636362,12.266037735849057,39.14909090909091
West,2.0,38.721428571428575,31.26607142857143,11.245454545454546,44.234545454545454
West Virginia,0.0,53.21666666666667,38.31666666666666,13.808333333333332,51.525
West Virginia,1.0,35.016666666666666,32.824999999999996,10.441666666666666,41.608333333333334
West Virginia,2.0,45.60833333333333,36.15833333333333,12.158333333333333,47.300000000000004
Wisconsin,0.0,36.239999999999995,31.830000000000002,9.533333333333333,50.9
Wisconsin,1.0,21.683333333333334,18.1,11.358333333333334,38.166666666666664
Wisconsin,2.0,29.474999999999998,25.025000000000002,10.35,44.324999999999996
Wyoming,0.0,34.2,28.9875,8.066666666666666,43.4125
Wyoming,1.0,24.990000000000002,19.61,10.191666666666666,32.80833333333333
Wyoming,2.0,30.633333333333336,24.5,9.075,38.26666666666667
